"State","County","RuralUrbanContinuum1993"
"KS","179",9
"KS","181",7
"KS","183",9
"KS","185",9
"KS","187",9
"KS","189",7
"KS","191",6
"KS","193",7
"KS","195",9
"KS","197",8
"KS","199",9
"KS","201",9
"KS","203",9
"KS","205",7
"KS","207",9
"KS","209",0
"KY","001",7
"KY","003",7
"KY","005",6
"KY","007",9
"KY","009",7
"KY","011",8
"KY","013",7
"KY","015",0
"KY","017",2
"KY","019",2
"KY","021",7
"KY","023",8
"KY","025",9
"KY","027",9
"KY","029",2
"KY","031",9
"KY","033",6
"KY","035",7
"KY","037",0
"KY","039",9
"KY","041",6
"KY","043",2
"KY","045",9
"KY","047",3
"KY","049",2
"KY","051",9
"KY","053",9
"KY","055",7
"KY","057",9
"KY","059",3
"KY","061",9
"KY","063",8
"KY","065",6
"KY","067",2
"KY","069",7
"KY","071",7
"KY","073",4
"KY","075",7
"KY","077",1
"KY","079",6
"KY","081",1
"KY","083",7
"KY","085",7
"KY","087",9
"KY","089",2
"KY","091",8
"KY","093",4
"KY","095",7
"KY","097",6
"KY","099",9
"KY","101",2
"KY","103",8
"KY","105",9
"KY","107",7
"KY","109",8
"KY","111",2
"KY","113",2
"KY","115",7
"KY","117",0
"KY","119",9
"KY","121",7
"KY","123",7
"KY","125",7
"KY","127",8
"KY","129",9
"KY","131",9
"KY","133",7
"KY","135",8
"KY","137",7
"KY","139",9
"KY","141",7
"KY","143",9
"KY","145",5
"KY","147",9
"KY","149",8
"KY","151",2
"KY","153",9
"KY","155",7
"KY","157",7
"KY","159",9
"KY","161",6
"KY","163",6
"KY","165",9
"KY","167",6
"KY","169",9
"KY","171",7
"KY","173",6
"KY","175",9
"KY","177",7
"KY","179",6
"KY","181",8
"KY","183",6
"KY","185",2
"KY","187",8
"KY","189",9
"KY","191",1
"KY","193",7
"KY","195",7
"KY","197",6
"KY","199",7
"KY","201",9
"KY","203",6
"KY","205",7
"KY","207",9
"KY","209",2
"KY","211",6
"KY","213",6
"KY","215",8
"KY","217",7
"KY","219",8
"KY","221",8
"KY","223",8
"KY","225",6
"KY","227",5
"KY","229",7
"KY","231",7
"KY","233",6
"KY","235",7
"KY","237",9
"KY","239",2
"LA","001",2
"LA","003",6
"LA","005",2
"LA","007",6
"LA","009",6
"LA","011",6
"LA","013",6
"LA","015",2
"LA","017",2
"LA","019",3
"LA","021",8
"LA","023",8
"LA","025",7
"LA","027",6
"LA","029",7
"LA","031",6
"LA","033",2
"LA","035",7
"LA","037",6
"LA","039",7
"LA","041",7
"LA","043",8
"LA","045",4
"LA","047",6
"LA","049",6
"LA","051",0
"LA","053",6
"LA","055",2
"LA","057",3
"LA","059",7
"LA","061",4
"LA","063",2
"LA","065",7
"LA","067",6
"LA","069",6
"LA","071",0
"LA","073",3
"LA","075",1
"LA","077",6
"LA","079",3
"LA","081",8
"LA","083",6
"LA","085",7
"LA","087",0
"LA","089",0
"LA","091",8
"LA","093",1
"LA","095",1
"LA","097",2
"LA","099",2
"LA","101",4
"LA","103",0
"LA","105",4
"LA","107",9
"LA","109",3
"LA","111",6
"LA","113",6
"LA","115",5
"LA","117",6
"LA","119",2
"LA","121",2
"LA","123",9
"LA","125",8
"LA","127",7
"ME","001",3
"ME","003",5
"ME","005",3
"ME","007",6
"ME","009",6
"ME","011",4
"ME","013",7
"ME","015",9
"ME","017",6
"ME","019",3
"ME","021",6
"ME","023",6
"ME","025",7
"ME","027",6
"ME","029",7
"ME","031",4
"MD","001",3
"MD","003",0
"MD","005",0
"MD","009",1
"MD","011",6
"MD","013",1
"MD","015",2
"MD","017",1
"MD","019",7
"MD","021",1
"MD","023",8
"MD","025",0
"MD","027",0
"MD","029",6
"MD","031",0
"MD","033",0
"MD","035",1
"MD","037",4
"MD","039",7
"MD","041",6
"MD","043",3
"MD","045",5
"MD","047",7
"MD","510",0
"MA","001",3
"MA","003",3
"MA","005",2
"MA","007",9
"MA","009",0
"MA","011",4
"MA","013",2
"MA","015",2
"MA","017",0
"MA","019",7
"MA","021",0
"MA","023",1
"MA","025",0
"MA","027",0
"MI","001",9
"MI","003",7
"MI","005",2
"MI","007",7
"MI","009",9
"MI","011",8
"MI","013",9
"MI","015",6
"MI","017",2
"MI","019",9
"MI","021",3
"MI","023",6
"MI","025",2
"MI","027",6
"MI","029",7
"MI","031",7
"MI","033",7
"MI","035",7
"MI","037",2
"MI","039",9
"MI","041",7
"MI","043",7
"MI","045",2
"MI","047",7
"MI","049",2
"MI","051",6
"MI","053",7
"MI","055",7
"MI","057",6
"MI","059",6
"MI","061",7
"MI","063",7
"MI","065",2
"MI","067",6
"MI","069",7
"MI","071",9
"MI","073",4
"MI","075",3
"MI","077",2
"MI","079",9
"MI","081",2
"MI","083",9
"MI","085",9
"MI","087",1
"MI","089",9
"MI","091",1
"MI","093",1
"MI","095",9
"MI","097",7
"MI","099",0
"MI","101",7
"MI","103",5
"MI","105",7
"MI","107",7
"MI","109",7
"MI","111",2
"MI","113",9
"MI","115",1
"MI","117",6
"MI","119",9
"MI","121",2
"MI","123",6
"MI","125",0
"MI","127",8
"MI","129",7
"MI","131",9
"MI","133",9
"MI","135",9
"MI","137",7
"MI","139",2
"MI","141",7
"MI","143",7
"MI","145",2
"MI","147",0
"MI","149",6
"MI","151",8
"MI","153",7
"MI","155",4
"MI","157",6
"MI","159",2
"MI","161",0
"MI","163",0
"MI","165",7
"MN","001",9
"MN","003",0
"MN","005",6
"MN","007",7
"MN","009",3
"MN","011",9
"MN","013",5
"MN","015",7
"MN","017",6
"MN","019",1
"MN","021",9
"MN","023",7
"MN","025",1
"MN","027",3
"MN","029",9
"MN","031",9
"MN","033",7
"MN","035",7
"MN","037",0
"MN","039",6
"MN","041",7
"MN","043",7
"MN","045",8
"MN","047",7
"MN","049",6
"MN","051",9
"MN","053",0
"MN","055",3
"MN","057",9
"MN","059",1
"MN","061",6
"MN","063",7
"MN","065",6
"MN","067",7
"MN","069",9
"MN","071",7
"MN","073",9
"MN","075",6
