Schema,Extension,Ext Recode
32,650,2
32,660,2
32,"670,675",7
32,700,2
32,710,2
32,"750,760",7
32,800,7
32,950,9
32,999,9
88,050,9
88,100,9
88,300,9
88,400,9
88,500,9
88,600,9
88,700,9
88,800,9
88,950,9
88,999,9
36,000,0
36,100,1
36,300,1
36,400,2
36,"600,700",2
36,800,7
36,950,9
36,999,9
90,000,0
90,050,9
90,100,1
90,"200,250",1
90,300,1
90,400,2
90,"600,605",2
90,"750,800",7
90,810,2
90,950,9
90,999,9
80,000,0
80,100,1
80,300,1
80,400,1
80,700,2
80,800,7
80,950,9
80,999,9
66,000,0
66,100,1
66,300,1
66,400,2
66,600,2
66,800,7
66,950,9
66,999,9
08,000,0
08,100,1
08,"300,405,410,415",1
08,"500,535",2
08,550,2
08,600,2
08,"700,720,725",2
08,"760,770,775",2
08,"790,805,810,815",2
08,"765,788,795,800",7
08,950,9
08,999,9
94,988,9
45,000,0
45,100,1
45,200,1
45,"300,340",1
45,350,1
45,375,1
45,"400,410",1
45,"450,630",1
45,"500,600",2
45,680,7
45,700,7
45,"775,815",2
45,"800,810",7
45,950,9
45,999,9
03,000,0
03,100,1
03,200,2
03,"300,405,410,415",1
03,500,2
03,"510,520,535",2
03,"725,778",2
03,"740,750",7
03,760,7
03,"770,775,788",7
03,800,7
03,950,9
03,999,9
71,000,0
71,100,1
71,300,1
71,400,2
71,600,2
71,800,7
71,950,9
71,999,9
12,000,0
12,"100,105",1
12,200,1
12,300,1
12,"405,410,415",1
12,"370,500,535,570",2
12,"600,605,690",2
12,"700,725,735,775,815",2
12,"705,710,788,790,810",7
12,720,7
12,750,7
12,800,7
12,950,9
12,999,9
35,000,0
35,100,1
35,"150,200",1
35,300,1
35,400,2
35,420,2
35,450,2
35,"500,510",2
35,600,2
35,790,7
35,800,7
35,810,2
35,950,9
35,999,9
21,000,0
21,"100,105",1
21,300,1
21,400,2
21,500,2
21,550,2
21,600,2
21,800,7
21,950,9
21,999,9
50,000,0
50,100,1
50,300,1
50,400,2
50,600,2
50,800,7
50,950,9
50,999,9
16,000,0
16,100,1
16,"300,305,310",1
16,350,2
16,"400,402,405,408",2
16,450,2
16,"510,515",2
16,600,7
16,620,7
16,"625,650,655",2
16,710,2
16,720,7
16,790,7
16,"800,810",7
16,815,2
16,950,9
16,999,9
41,000,0
41,"100,105",1
41,300,1
41,"320,330,370,380,390,400",2
41,500,2
41,"600,650",2
41,"700,750,790",2
41,800,7
41,950,9
41,999,9
77,000,0
77,"050,060",0
77,100,1
77,200,1
77,300,1
77,400,2
77,600,2
77,700,7
77,800,7
77,950,9
77,999,9
63,000,0
63,"100,150",1
63,"200,250",1
63,"300,310",1
63,350,1
63,360,1
63,410,7
63,430,7
63,"440,450",7
63,460,1
63,"500,510",2
