Histology,Primary Site,EOD 4dig Ext,EOD 4dig Nodes,Stage
"8000-8719,8800-9134,9141-9589",440-449,5-7,"1-2,5,8",2
8720-8799,440-449,"4,6-7","1-2,5,8",2
9700-9709,440-449,"2,7","2,8",9
"8000-9134,9141-9589",440-449,"1-7,9",7,4
"8000-9134,9141-9589",440-449,8,"0-2,5,7-9",4
9700-9709,440-449,8,"0-2,7-9",9
9700-9709,440-449,"1-3,7,9",7,9
"8000-9134,9141-9589",440-449,9,"0,9",9
9700-9709,440-449,9,"0,9",9
"8000-9134,9141-9589","470-479,490-499","1,3","0,9",1
"8000-9134,9141-9589","470-479,490-499",4,"0,9",2
"8000-9134,9141-9589","470-479,490-499","1,3,9","1,8",2
"8000-9134,9141-9589","470-479,490-499",4,"1,8",2
"8000-9134,9141-9589","470-479,490-499","1,3-4,9",7,4
"8000-9134,9141-9589","470-479,490-499",8,"0-1,7-9",4
"8000-9134,9141-9589","470-479,490-499",9,"0,9",9
"8000-9134,9141-9589",480-488,"1,3","0,9",1
"8000-9134,9141-9589",480-488,4,"0,9",2
"8000-9134,9141-9589",480-488,"1,3,9","1,8",2
"8000-9134,9141-9589",480-488,4,"1,8",2
"8000-9134,9141-9589",480-488,"1,3-4,9",7,4
"8000-9134,9141-9589",480-488,8,"0-1,7-9",4
"8000-9134,9141-9589",480-488,9,"0,9",9
"8000-9134,9141-9589",500-509,0,0-9,0
"8000-9134,9141-9589",500-509,1,"0,9",1
"8000-9134,9141-9589",500-509,"2-5,7","0,9",2
"8000-9134,9141-9589",500-509,"1,9","1-5,8",2
"8000-9134,9141-9589",500-509,"2-5,7","1-5,8",2
"8000-9134,9141-9589",500-509,"6,8",0-9,4
"8000-9134,9141-9589",500-509,"1-5,7,9",6-7,4
"8000-9134,9141-9589",500-509,9,"0,9",9
"8000-9134,9141-9589",510-519,0,0-9,0
"8000-9134,9141-9589",510-519,"1,3","0,9",1
"8000-9134,9141-9589",510-519,4-7,"0,9",2
"8000-9134,9141-9589",510-519,"1,3,9","1-4,8",2
"8000-9134,9141-9589",510-519,"4,7","1-4,8",2
"8000-9134,9141-9589",510-519,"1,3-4,7,9",7,4
"8000-9134,9141-9589",510-519,8,"0-4,7-9",4
"8000-9134,9141-9589",510-519,9,"0,9",9
"8000-9134,9141-9589",529,0,0-9,0
"8000-9134,9141-9589",529,"1,3","0,9",1
"8000-9134,9141-9589",529,"2,4-5","0,9",2
"8000-9134,9141-9589",529,"1,3,9","1,8",2
"8000-9134,9141-9589",529,"2,4-5","1,8",2
"8000-9134,9141-9589",529,6-8,"0-1,6-9",4
"8000-9134,9141-9589",529,"1-5,9",6-7,4
"8000-9134,9141-9589",529,9,"0,9",9
"8000-9134,9141-9589",530-539,0,0-9,0
"8000-9134,9141-9589",530-539,1-2,"0,9",1
"8000-9134,9141-9589",530-539,3-7,"0,9",2
"8000-9134,9141-9589",530-539,"1-2,9","1,8",2
"8000-9134,9141-9589",530-539,3-7,"1,8",2
"8000-9134,9141-9589",530-539,"1-7,9",6-7,4
"8000-9134,9141-9589",530-539,8,"0-1,6-9",4
"8000-9134,9141-9589",530-539,9,"0,9",9
"8000-9134,9141-9589","540-549,559,589",0,0-9,0
"8000-9134,9141-9589","540-549,559,589",1-4,"0,9",1
"8000-9134,9141-9589","540-549,559,589",5-6,"0,9",2
"8000-9134,9141-9589","540-549,559,589","1-4,9","1,8",2
"8000-9134,9141-9589","540-549,559,589",5-6,"1,8",2
"8000-9134,9141-9589","540-549,559,589",8,"0-1,6-9",4
"8000-9134,9141-9589","540-549,559,589","1-6,9",6-7,4
"8000-9134,9141-9589","540-549,559,589",9,"0,9",9
"8000-9134,9141-9589",569,0,0-9,0
"8000-9134,9141-9589",569,"1-2,4","0,9",1
"8000-9134,9141-9589",569,"3,5-6","0,9",2
"8000-9134,9141-9589",569,"1-2,4,9","1-5,8",2
"8000-9134,9141-9589",569,"3,5-6","1-5,8",2
"8000-9134,9141-9589",569,"1-6,9",7,4
"8000-9134,9141-9589",569,7-8,"0-3,5,7-9",4
"8000-9134,9141-9589",569,9,"0,9",9
"8000-9134,9141-9589",570-574,"4-5,7","0,9",2
"8000-9134,9141-9589",570-574,"1,3,9","1,5-6,8",2
"8000-9134,9141-9589",570-574,"4-5,7","1,5-6,8",2
"8000-9134,9141-9589",570-574,8,"0-3,5-9",4
